[16:01:37] === Telemetry Server started on port 55555 ===
[16:01:37] Waiting for aircraft connections...

[16:03:09] === Telemetry Server started on port 55555 ===
[16:03:09] Waiting for aircraft connections...

[16:03:11] New connection from 127.0.0.1:53590
[16:03:11] Aircraft 1362579091 - Flight #1 started. Initial fuel: 4564.47 gal
[16:03:11] Aircraft 1362579091 | Samples: 60 | Avg consumption: 234.29 GPH | Fuel remaining: 4560.59 gal
[16:03:11] Aircraft 1362579091 | Samples: 120 | Avg consumption: 252.10 GPH | Fuel remaining: 4556.23 gal
[16:03:11] Aircraft 1362579091 | Samples: 180 | Avg consumption: 232.28 GPH | Fuel remaining: 4553.02 gal
[16:03:11] Aircraft 1362579091 | Samples: 240 | Avg consumption: 219.13 GPH | Fuel remaining: 4550.03 gal
[16:03:11] Aircraft 1362579091 | Samples: 300 | Avg consumption: 216.59 GPH | Fuel remaining: 4546.73 gal
[16:03:11] Aircraft 1362579091 | Samples: 360 | Avg consumption: 210.47 GPH | Fuel remaining: 4543.73 gal
[16:03:11] Aircraft 1362579091 | Samples: 420 | Avg consumption: 220.17 GPH | Fuel remaining: 4539.09 gal
[16:03:11] Aircraft 1362579091 | Samples: 480 | Avg consumption: 530.67 GPH | Fuel remaining: 4494.02 gal
[16:03:11] Aircraft 1362579091 | Samples: 540 | Avg consumption: 791.19 GPH | Fuel remaining: 4446.10 gal
[16:03:11] Aircraft 1362579091 | Samples: 600 | Avg consumption: 921.54 GPH | Fuel remaining: 4411.19 gal
[16:03:11] Aircraft 1362579091 | Samples: 660 | Avg consumption: 992.33 GPH | Fuel remaining: 4382.85 gal
[16:03:11] Aircraft 1362579091 | Samples: 720 | Avg consumption: 1036.76 GPH | Fuel remaining: 4357.44 gal
[16:03:11] Aircraft 1362579091 | Samples: 780 | Avg consumption: 1077.62 GPH | Fuel remaining: 4331.31 gal
[16:03:11] Aircraft 1362579091 | Samples: 840 | Avg consumption: 1133.28 GPH | Fuel remaining: 4300.36 gal
[16:03:11] Aircraft 1362579091 | Samples: 900 | Avg consumption: 1171.82 GPH | Fuel remaining: 4271.84 gal
[16:03:11] Aircraft 1362579091 | Samples: 960 | Avg consumption: 1198.81 GPH | Fuel remaining: 4245.12 gal
[16:03:11] Aircraft 1362579091 | Samples: 1020 | Avg consumption: 1201.95 GPH | Fuel remaining: 4224.25 gal
[16:03:11] Aircraft 1362579091 | Samples: 1080 | Avg consumption: 1200.04 GPH | Fuel remaining: 4204.79 gal
[16:03:11] Aircraft 1362579091 | Samples: 1140 | Avg consumption: 1203.98 GPH | Fuel remaining: 4183.54 gal
[16:03:11] Aircraft 1362579091 | Samples: 1200 | Avg consumption: 1190.78 GPH | Fuel remaining: 4167.87 gal
[16:03:11] Aircraft 1362579091 | Samples: 1260 | Avg consumption: 1180.86 GPH | Fuel remaining: 4151.50 gal
[16:03:11] Aircraft 1362579091 | Samples: 1320 | Avg consumption: 1175.21 GPH | Fuel remaining: 4133.89 gal
[16:03:11] Aircraft 1362579091 | Samples: 1380 | Avg consumption: 1164.51 GPH | Fuel remaining: 4118.40 gal
[16:03:11] Aircraft 1362579091 | Samples: 1440 | Avg consumption: 1150.64 GPH | Fuel remaining: 4104.54 gal
[16:03:11] Aircraft 1362579091 | Samples: 1500 | Avg consumption: 1137.16 GPH | Fuel remaining: 4090.98 gal
[16:03:11] Aircraft 1362579091 | Samples: 1560 | Avg consumption: 1123.40 GPH | Fuel remaining: 4077.99 gal
[16:03:11] Aircraft 1362579091 | Samples: 1620 | Avg consumption: 1110.79 GPH | Fuel remaining: 4064.94 gal
[16:03:11] Aircraft 1362579091 | Samples: 1680 | Avg consumption: 1100.03 GPH | Fuel remaining: 4051.45 gal
[16:03:11] Aircraft 1362579091 | Samples: 1740 | Avg consumption: 1094.95 GPH | Fuel remaining: 4035.57 gal
[16:03:11] Aircraft 1362579091 | Samples: 1800 | Avg consumption: 1086.35 GPH | Fuel remaining: 4021.62 gal
[16:03:11] Aircraft 1362579091 | Samples: 1860 | Avg consumption: 1078.22 GPH | Fuel remaining: 4007.72 gal
